course_url,Skills,Course URL,Course Name,Learning Product Type,Course Provided By,Course Rating,Course Rated By,Enrolled Student Count,Course Difficulty,Description
https://www.coursera.org/professional-certificates/ibm-data-science,"Data Science,Machine Learning,Python Programming,Data Analysis,Data Visualization (DataViz),Numpy,Pandas,Cloud Databases,Ipython,Relational Database Management System (RDBMS),SQL,Predictive Modelling",https://www.coursera.org/professional-certificates/ibm-data-science,IBM Data Science,PROFESSIONAL CERTIFICATE,IBM,4.6,51792,500k,Beginner,"Data Science has been ranked as one of the hottest professions and the demand for data practitioners is booming. This Professional Certificate from IBM is intended for anyone interested in developing skills and experience to pursue a career in Data Science or Machine Learning.

This program consists of 9 courses providing you with latest job-ready skills and techniques covering a wide array of data science topics including: open source tools and libraries, methodologies, Python, databases, SQL, data visualization, data analysis, and machine learning. You will practice hands-on in the IBM Cloud using real data science tools and real-world data sets.

It is a myth that to become a data scientist you need a Ph.D. This Professional Certificate is suitable for anyone who has some computer skills and a passion for self-learning. No prior computer science or programming knowledge is necessary. We start small, re-enforce applied learning, and build up to more complex topics.

Upon successfully completing these courses you will have done several hands-on assignments and built a portfolio of data science projects to provide you with the confidence to plunge into an exciting profession in Data Science. In addition to earning a Professional Certificate from Coursera, you will also receive a digital Badge from IBM recognizing your proficiency in Data Science."
https://www.coursera.org/specializations/introduction-data-science,"Data Science,Python Programming,Rstudio,SQL,Cloud Databases,Ipython,Relational Database Management System (RDBMS)",https://www.coursera.org/specializations/introduction-data-science,Introduction to Data Science,SPECIALIZATION,IBM,4.6,40336,320k,Beginner,"In this Specialization learners will develop foundational Data Science skills to prepare them for a career or further learning that involves more advanced topics in Data Science. The specialization entails understanding what is Data Science and the various kinds of activities that a Data Scientist performs. It will familiarize learners with various open source tools, like Jupyter notebooks, used by Data Scientists. It will teach you about methodology involved in tackling data science problems. The specialization also provides knowledge of relational database concepts and the use of SQL to query databases. Learners will complete hands-on labs and projects to apply their newly acquired skills and knowledge.

Upon receiving the certificate for completion of the specialization, you will also receive an IBM Badge as a Specialist in Data Science Foundations.

LIMITED TIME OFFER: Subscription is only $39 USD per month and gives you access to graded materials and a certificate."
https://www.coursera.org/specializations/python,"Json,Xml,Python Programming,Database (DBMS),Python Syntax And Semantics,Basic Programming Language,Computer Programming,Data Structure,Tuple,Web Scraping,Sqlite,SQL",https://www.coursera.org/specializations/python,Python for Everybody,SPECIALIZATION,University of Michigan,4.8,135354,1.5m,Beginner,"This Specialization builds on the success of the Python for Everybody course and will introduce fundamental programming concepts including data structures, networked application program interfaces, and databases, using the Python programming language. In the Capstone Project, youâll use the technologies learned throughout the Specialization to design and create your own applications for data retrieval, processing, and visualization."
https://www.coursera.org/professional-certificates/google-it-support,"Binary Code,Customer Support,Linux,Troubleshooting,Domain Name System (DNS),Ipv4,Network Model,Powershell,Linux File Systems,Command-Line Interface,Directory Service,Lightweight Directory Access Protocol (LDAP)",https://www.coursera.org/professional-certificates/google-it-support,Google IT Support,PROFESSIONAL CERTIFICATE,Google,4.8,38906,380k,Beginner,"This 5-course certificate, developed by Google, includes innovative curriculum designed to prepare you for an entry-level role in IT support. A job in IT can mean in-person or remote help desk work in a small business or at a global company like Google. The program is part of Grow with Google, a Google initiative to help create economic opportunities for all Americans. Learn more.

Upon completion of the certificate, you can share your information with top employers like Cognizant, GE Digital, Hulu, Infosys, Intel, KForce, MCPc, PNC Bank, RICOH USA, Sprint, TEKSystems, Veterans United Home Loans, Walmart and their subsidiaries, and of course, Google. You can also earn a CompTIA and Google dual credential when you complete the Google certificate and pass the CompTIA A+ certification exams.

Through a mix of video lectures, quizzes, and hands-on labs and widgets, the program will introduce you to troubleshooting, customer service, networking, operating systems, system administration and security. Youâll hear from Googlers with unique backgrounds whose own foundation in IT support served as a jumping off point for their careers. By dedicating ~5 hours a week, you can complete in under six months.

Completing the program can earn you up to 12 college credits, the equivalent of 4 associate degree-level courses. Learn more in the FAQs below.

If youâre interested in building on your IT foundations, check out the Google IT Automation with Python Professional Certificate."
https://www.coursera.org/specializations/deep-learning,"Tensorflow,Convolutional Neural Network,Artificial Neural Network,Deep Learning,Backpropagation,Python Programming,Hyperparameter,Hyperparameter Optimization,Machine Learning,Inductive Transfer,Multi-Task Learning,Facial Recognition System",https://www.coursera.org/specializations/deep-learning,Deep Learning,SPECIALIZATION,deeplearning.ai,4.8,92961,720k,Intermediate,"If you want to break into AI, this Specialization will help you do so. Deep Learning is one of the most highly sought after skills in tech. We will help you become good at Deep Learning.

In five courses, you will learn the foundations of Deep Learning, understand how to build neural networks, and learn how to lead successful machine learning projects. You will learn about Convolutional networks, RNNs, LSTM, Adam, Dropout, BatchNorm, Xavier/He initialization, and more. You will work on case studies from healthcare, autonomous driving, sign language reading, music generation, and natural language processing. You will master not only the theory, but also see how it is applied in industry. You will practice all these ideas in Python and in TensorFlow, which we will teach.

You will also hear from many top leaders in Deep Learning, who will share with you their personal stories and give you career advice.

AI is transforming multiple industries. After finishing this specialization, you will likely find creative ways to apply it to your work.

We will help you master Deep Learning, understand how to apply it, and build a career in AI."
https://www.coursera.org/learn/the-science-of-well-being,"Gratitude,Happiness,Meditation,Savoring",https://www.coursera.org/learn/the-science-of-well-being,The Science of Well-Being,COURSE,Yale University,4.9,10580,2.6m,Mixed,"In this course you will engage in a series of challenges designed to increase your own happiness and build more productive habits. As preparation for these tasks, Professor Laurie Santos reveals misconceptions about happiness, annoying features of the mind that lead us to think the way we do, and the research that can help us change. You will ultimately be prepared to successfully incorporate a specific wellness activity into your life.THE SCIENCE OF WELL BEING WAS PRODUCED IN PART DUE TO THE GENEROUS FUNDING OF THE DAVID F. SWENSEN FUND FOR INNOVATION IN TEACHING."
https://www.coursera.org/learn/machine-learning,"Logistic Regression,Artificial Neural Network,Machine Learning (ML) Algorithms,Machine Learning",https://www.coursera.org/learn/machine-learning,Machine Learning,COURSE,Stanford University,4.9,137094,3.2m,Mixed,"Machine learning is the science of getting computers to act without being explicitly programmed. In the past decade, machine learning has given us self-driving cars, practical speech recognition, effective web search, and a vastly improved understanding of the human genome. Machine learning is so pervasive today that you probably use it dozens of times a day without knowing it. Many researchers also think it is the best way to make progress towards human-level AI. In this class, you will learn about the most effective machine learning techniques, and gain practice implementing them and getting them to work for yourself. More importantly, you'll learn about not only the theoretical underpinnings of learning, but also gain the practical know-how needed to quickly and powerfully apply these techniques to new problems. Finally, you'll learn about some of Silicon Valley's best practices in innovation as it pertains to machine learning and AI.This course provides a broad introduction to machine learning, datamining, and statistical pattern recognition. Topics include: (i) Supervised learning (parametric/non-parametric algorithms, support vector machines, kernels, neural networks). (ii) Unsupervised learning (clustering, dimensionality reduction, recommender systems, deep learning). (iii) Best practices in machine learning (bias/variance theory; innovation process in machine learning and AI). The course will also draw from numerous case studies and applications, so that you'll also learn how to apply learning algorithms to building smart robots (perception, control), text understanding (web search, anti-spam), computer vision, medical informatics, audio, database mining, and other areas."
https://www.coursera.org/specializations/applied-data-science,"Data Analysis,Python Programming,Data Visualization (DataViz),Matplotlib,Data Science,Numpy,Pandas,Predictive Modelling,Model Selection,Data Virtualization",https://www.coursera.org/specializations/applied-data-science,Applied Data Science,SPECIALIZATION,IBM,4.6,21370,230k,Beginner,"This is an action-packed specialization is for data science enthusiasts who want to acquire practical skills for real world data problems. It appeals to anyone interested in pursuing a career in Data Science, and already has foundational skills (or has completed the Introduction to Applied Data Science specialization). You will learn Python - no prior programming knowledge necessary. You will then learn data visualization and data analysis. Through our guided lectures, labs, and projects youâll get hands-on experience tackling interesting data problems. Make sure to take this specialization to solidify your Python and data science skills before diving deeper into big data, AI, and deep learning.

Upon completing all courses in the specialization and receiving the Specialization certificate, you will also receive an IBM Badge recognizing you as a Specialist in Applied Data Science.

LIMITED TIME OFFER: Subscription is only $39 USD per month and gives you access to graded materials and a certificate."
https://www.coursera.org/professional-certificates/gcp-cloud-architect,"Google Compute Engine,Google App Engine (GAE),Google Cloud Platform,Cloud Computing,Virtual Machine,Network Architecture,Debugging,Cloud Storage,Data Store,Load Balancing,Virtual Private Network (VPN),Autoscaling",https://www.coursera.org/professional-certificates/gcp-cloud-architect,Cloud Architecture with Google Cloud,PROFESSIONAL CERTIFICATE,Google Cloud,4.7,35738,330k,Intermediate,"The Google Cloud Professional Cloud Architect certification was ranked one of the top paying IT certifications of 2019 by Global Knowledge.

This program provides the skills you need to advance your career as a professional cloud architect and recommends training to support your preparation for the industry-recognized Google Cloud Professional Cloud Architect certification.

You'll have the opportunity to deploy solution elements, including infrastructure components such as networks, systems and applications services, and you'll gain real world experience through a number of hands-on Qwiklabs projects.

Upon successful completion of this program, you will earn a certificate of completion to share with your professional network and potential employers.

If you would like to become Google Cloud certified and demonstrate your proficiency in the understanding of cloud architecture and Google Cloud Platform, design, develop, and manage solutions to drive business objectives, you will need to register for, and pass the official Google Cloud certification exam. You can find more details on how to register and additional resources to support your preparation at cloud.google.com/certification."
https://www.coursera.org/professional-certificates/gcp-cloud-architect,"Google Compute Engine,Google App Engine (GAE),Google Cloud Platform,Cloud Computing,Virtual Machine,Network Architecture,Debugging,Cloud Storage,Data Store,Load Balancing,Virtual Private Network (VPN),Autoscaling",https://www.coursera.org/professional-certificates/gcp-cloud-architect,Cloud Architecture with Google Cloud,PROFESSIONAL CERTIFICATE,Google Cloud,4.7,35738,330k,Intermediate,"This program provides the skills you need to advance your career as a cloud engineer and recommends training to support your preparation for the industry-recognized Google Cloud Associate Cloud Engineer.

You'll also have the opportunity to practice key job skills, such as setting up a cloud environment and configuring and deploying a solution in the cloud.

Upon successful completion of this program, you will earn a certificate of completion to share with your professional network and potential employers.

If you would like to become Google Cloud certified and demonstrate your proficiency in using the Google Cloud Console and the command-line interface to perform common platform-based tasks to maintain one or more deployed solutions that leverage Google-managed or self-managed services on Google Cloud, you will need to register for, and pass the official Google Cloud certification exam. You can find more details on how to register and additional resources to support your preparation at cloud.google.com/certification."
